name,location,car_age,kilometers_driven,fuel_type,transmission,owner_number,mileage_kmpl,engine_cc,power_bhp,seats,price_euro,low_car_age,high_car_age,low_kilometers_driven,high_kilometers_driven,low_mileage_kmpl,high_mileage_kmpl,low_engine_cc,high_engine_cc,low_power_bhp,high_power_bhp,low_price_euro,high_price_euro,reliability_score,fuel_efficiency_score,power_score,size_score,affordability_score,performance_score,economy_score,overall_quality_score,hybrid_score,direct_similarity,ibcf_score
BMW 7 Series 730Ld,Mumbai,14,55000,Diesel,Automatic,2,16.46,2993,258.0,5,19932.54,0,0,0,0,0,0,0,0,0,1,0,0,0.42857142857142855,0.4201068479844585,0.4338891043039938,0.48976638412238993,0.6067670021251331,0.45624001623135224,0.47610489422666086,0.4511320445659754,0.9092974783371137,0.9803740319245813,4005.089524628046
Audi A6 3.0 TDI quattro,Bangalore,14,50000,Diesel,Automatic,3,16.77,2967,241.38,5,21465.81,0,0,0,0,0,0,0,0,0,1,0,0,0.42857142857142855,0.43516270033997084,0.4016673129119814,0.48439115154021084,0.575820065463548,0.43475684836327316,0.477359909877044,0.4450635989006666,0.9090725970262477,0.9771658739374127,4024.52771420787
BMW 5 Series 2003-2012 525d,Hyderabad,14,101999,Diesel,Automatic,1,16.73,1995,218.0,5,20433.4,0,0,0,0,0,0,0,0,0,0,0,0,0.42857142857142855,0.4332200097134532,0.3563396665374176,0.2834401488525946,0.5966578349880199,0.3271798594634884,0.4822513572958232,0.4142579364563649,0.9079683034048568,0.9477110323804964,4207.591365544803
BMW 5 Series 2007-2010 525d Sedan,Delhi,13,49000,Diesel,Automatic,2,16.73,2495,218.0,5,15843.81,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.4332200097134532,0.3563396665374176,0.3868100062021914,0.6892923683922113,0.36852780240332716,0.5100417173170806,0.46357085591612235,0.9069968325418434,0.9465464220681072,4210.388336767401
BMW 5 Series 2003-2012 525d,Mumbai,14,89000,Diesel,Automatic,1,16.73,1995,218.0,5,16937.54,0,0,0,0,0,0,0,0,0,0,0,0,0.42857142857142855,0.4332200097134532,0.3563396665374176,0.2834401488525946,0.6672169393843552,0.3271798594634884,0.5034190886147238,0.4206082558520351,0.9011762253645683,0.9390327546167578,4230.573054788681
Mercedes-Benz New C-Class C 250 CDI Elegance,Hyderabad,14,57000,Diesel,Automatic,2,14.94,2143,204.0,5,17632.63,0,0,0,0,0,0,0,0,0,0,0,0,0.42857142857142855,0.34628460417678486,0.3291973633191159,0.3140376266280752,0.6531875080356031,0.32313346864269965,0.4383554753344303,0.39987525462171036,0.9006382379341196,0.941684655717548,4211.040226685109
BMW X5 xDrive 30d,Mumbai,13,66000,Diesel,Automatic,1,15.3,2993,258.0,5,21465.81,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0.3637688198154445,0.4338891043039938,0.48976638412238993,0.575820065463548,0.45624001623135224,0.42738419350987555,0.46508726292236835,0.9004482165042125,0.9772154221958862,3982.928432470366
Audi A4 3.0 TDI Quattro Premium,Coimbatore,13,46913,Diesel,Automatic,1,14.94,2967,241.4,5,16467.34,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0.34628460417678486,0.4017060876308647,0.48439115154021084,0.6767072767797764,0.43478011319460313,0.44541140595768225,0.4640574557456856,0.8998197807402075,0.9638283157454777,4065.5244172287375
Skoda Superb Style 1.8 TSI AT,Mumbai,15,62004,Petrol,Automatic,2,14.67,1798,177.46,5,34099.97,0,0,0,0,0,0,0,0,0,0,0,1,0.3571428571428571,0.3331714424477902,0.2777433113609926,0.24271242505685345,0.32081700058108636,0.26373095683933695,0.329465109887779,0.32081596287527764,0.8989666656840296,0.9619560483735932,4073.413051468217
Jaguar XF 3.0 Litre S Premium Luxury,Coimbatore,13,75668,Diesel,Automatic,1,14.74,2993,270.9,5,16947.77,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0.3365711510441962,0.4588987979837145,0.48976638412238993,0.6670104609676066,0.47124583243918466,0.43570294402121934,0.4720846329381212,0.8983879024836189,0.9730843173393031,3999.4827330167413
Jaguar XF 3.0 Litre S Premium Luxury,Bangalore,14,65000,Diesel,Automatic,1,14.74,2993,270.9,5,16354.9,0,0,0,0,0,0,0,0,0,1,0,0,0.42857142857142855,0.3365711510441962,0.4588987979837145,0.48976638412238993,0.6789767228383495,0.47124583243918466,0.4392928225824422,0.44459016793505945,0.897407700839887,0.9762575277162091,3974.4996290036106
BMW 5 Series 525d Sedan,Mumbai,12,35000,Diesel,Automatic,1,16.73,2993,218.0,5,21465.81,0,0,0,0,0,0,0,0,0,0,0,0,0.5714285714285714,0.4332200097134532,0.3563396665374176,0.48976638412238993,0.575820065463548,0.4097103535714065,0.4760000264384816,0.494284542574395,0.8970959515660326,0.9566463851405835,4098.411228295667
Jaguar XF 3.0 Litre S Premium Luxury,Kolkata,13,29000,Diesel,Automatic,1,14.74,2993,270.9,5,20443.63,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0.3365711510441962,0.4588987979837145,0.48976638412238993,0.5964513565712715,0.47124583243918466,0.41453521270231874,0.465734313542451,0.8959099157200086,0.9782321212641543,3954.703580764245
Mercedes-Benz E-Class 2009-2013 E250 CDI Blue Efficiency,Hyderabad,15,93000,Diesel,Automatic,2,14.21,2143,203.0,5,17888.17,0,0,0,0,0,0,0,0,0,0,0,0,0.3571428571428571,0.3108305002428364,0.32725862737495154,0.3140376266280752,0.6480297861767645,0.32197022707620104,0.4119902860230148,0.36304529678690756,0.8958708502726918,0.9457163699338462,4162.439225295719
BMW 5 Series 2003-2012 GT 530d LE,Coimbatore,14,57832,Diesel,Automatic,1,16.2,2993,258.0,5,26392.72,0,0,0,0,0,0,0,0,0,1,0,1,0.42857142857142855,0.4074793589120933,0.4338891043039938,0.48976638412238993,0.476377193883637,0.45624001623135224,0.42814870940355637,0.43674518911904403,0.8954180951618588,0.9871492228383819,3895.328787185572
Jaguar XF Diesel,Kolkata,13,43510,Diesel,Automatic,1,14.74,2993,270.9,5,20954.72,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0.3365711510441962,0.4588987979837145,0.48976638412238993,0.5861357110174098,0.47124583243918466,0.4114405190361603,0.4648059054426035,0.8951573255307077,0.9788386367956219,3947.222770625078
Mercedes-Benz E-Class 2009-2013 E250 CDI Elegance,Chennai,14,43800,Diesel,Automatic,2,14.21,2143,203.0,5,17121.54,0,0,0,0,0,0,0,0,0,0,0,0,0.42857142857142855,0.3108305002428364,0.32725862737495154,0.3140376266280752,0.6635031535894648,0.32197022707620104,0.4166322962468249,0.3930093284254792,0.8940293472243237,0.9389034387070406,4197.189905222956
BMW 5 Series 2010-2013 530d,Coimbatore,13,40471,Diesel,Automatic,2,16.2,2993,235.0,5,26290.5,0,0,0,0,0,0,0,0,0,1,0,1,0.5,0.4074793589120933,0.3892981775882125,0.48976638412238993,0.47844036336164625,0.4294854602018835,0.4287676602469591,0.45747593613465276,0.8935514811874843,0.9742868071316024,3968.6428210338318
BMW X3 xDrive20d,Bangalore,13,52000,Diesel,Automatic,1,16.09,1995,184.0,5,24532.35,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0.4021369596891695,0.2904226444358278,0.2834401488525946,0.5139261921403779,0.2876296462025345,0.435673729424532,0.4169910126881199,0.8933219603099181,0.9330395140104684,4231.300833162264
BMW 5 Series 2003-2012 525d,Delhi,14,75000,Diesel,Automatic,2,16.73,1995,218.0,5,14208.32,0,0,0,0,0,0,0,0,0,0,0,0,0.42857142857142855,0.4332200097134532,0.3563396665374176,0.2834401488525946,0.7223024745318056,0.3271798594634884,0.5199447491589589,0.4255659540153056,0.8933082481675634,0.9314262600260939,4241.551182790932
